RSIOverbought,RSIOversold,TSIOverbought,TSIOversold,LowerBollinger,HigherBollinger,GoldenCross,ChandelierBuy,Hold,Buy,Sell
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,1,1,0,0
0,0,0,0,1,1,0,0,d,d,d
0,0,0,0,1,1,0,1,d,d,d
0,0,0,0,1,1,1,0,d,d,d
0,0,0,0,1,1,1,1,d,d,d
0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,0,0,0,0,1
0,0,0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,1,0,0,0,1
0,0,0,1,0,1,1,1,0,0,1
0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,1
0,0,0,1,1,0,1,0,0,0,1
0,0,0,1,1,0,1,1,1,0,0
0,0,0,1,1,1,0,0,d,d,d
0,0,0,1,1,1,0,1,d,d,d
0,0,0,1,1,1,1,0,d,d,d
0,0,0,1,1,1,1,1,d,d,d
0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1,0,0,1
0,0,1,0,0,1,1,0,0,0,1
0,0,1,0,0,1,1,1,0,0,1
0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,1
0,0,1,0,1,1,0,0,d,d,d
0,0,1,0,1,1,0,1,d,d,d
0,0,1,0,1,1,1,0,d,d,d
0,0,1,0,1,1,1,1,d,d,d
0,0,1,1,0,0,0,0,d,d,d
0,0,1,1,0,0,0,1,d,d,d
0,0,1,1,0,0,1,0,d,d,d
0,0,1,1,0,0,1,1,d,d,d
0,0,1,1,0,1,0,0,d,d,d
0,0,1,1,0,1,0,1,d,d,d
0,0,1,1,0,1,1,0,d,d,d
0,0,1,1,0,1,1,1,d,d,d
0,0,1,1,1,0,0,0,d,d,d
0,0,1,1,1,0,0,1,d,d,d
0,0,1,1,1,0,1,0,d,d,d
0,0,1,1,1,0,1,1,d,d,d
0,0,1,1,1,1,0,0,d,d,d
0,0,1,1,1,1,0,1,d,d,d
0,0,1,1,1,1,1,0,d,d,d
0,0,1,1,1,1,1,1,d,d,d
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0
0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1
0,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,1,1,1,0,0,1
0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,1,0,0,0,1
0,1,0,0,1,0,1,1,1,0,0
0,1,0,0,1,1,0,0,d,d,d
0,1,0,0,1,1,0,1,d,d,d
0,1,0,0,1,1,1,0,d,d,d
0,1,0,0,1,1,1,1,d,d,d
0,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1
0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,1,1,0,0
0,1,0,1,0,1,0,0,0,0,1
0,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,0,1
0,1,0,1,0,1,1,1,0,0,1
0,1,0,1,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1
0,1,0,1,1,0,1,0,0,0,1
0,1,0,1,1,0,1,1,0,1,0
0,1,0,1,1,1,0,0,d,d,d
0,1,0,1,1,1,0,1,d,d,d
0,1,0,1,1,1,1,0,d,d,d
0,1,0,1,1,1,1,1,d,d,d
0,1,1,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0,0,0,1
0,1,1,0,0,0,1,1,0,0,1
0,1,1,0,0,1,0,0,0,0,1
0,1,1,0,0,1,0,1,0,0,1
0,1,1,0,0,1,1,0,0,0,1
0,1,1,0,0,1,1,1,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,0,1
0,1,1,0,1,0,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,1
0,1,1,0,1,1,0,0,d,d,d
0,1,1,0,1,1,0,1,d,d,d
0,1,1,0,1,1,1,0,d,d,d
0,1,1,0,1,1,1,1,d,d,d
0,1,1,1,0,0,0,0,d,d,d
0,1,1,1,0,0,0,1,d,d,d
0,1,1,1,0,0,1,0,d,d,d
0,1,1,1,0,0,1,1,d,d,d
0,1,1,1,0,1,0,0,d,d,d
0,1,1,1,0,1,0,1,d,d,d
0,1,1,1,0,1,1,0,d,d,d
0,1,1,1,0,1,1,1,d,d,d
0,1,1,1,1,0,0,0,d,d,d
0,1,1,1,1,0,0,1,d,d,d
0,1,1,1,1,0,1,0,d,d,d
0,1,1,1,1,0,1,1,d,d,d
0,1,1,1,1,1,0,0,d,d,d
0,1,1,1,1,1,0,1,d,d,d
0,1,1,1,1,1,1,0,d,d,d
0,1,1,1,1,1,1,1,d,d,d
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,1,0,0,0,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,1,1,0,0,1
1,0,0,0,1,1,0,0,d,d,d
1,0,0,0,1,1,0,1,d,d,d
1,0,0,0,1,1,1,0,d,d,d
1,0,0,0,1,1,1,1,d,d,d
1,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,1,1,0,0,1
1,0,0,1,0,1,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,1,1,1,0,0,1
1,0,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,0,1,0,0,1
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,1,0,1,1,0,0,1
1,0,0,1,1,1,0,0,d,d,d
1,0,0,1,1,1,0,1,d,d,d
1,0,0,1,1,1,1,0,d,d,d
1,0,0,1,1,1,1,1,d,d,d
1,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,0,1,1,0,0,1
1,0,1,0,0,1,0,0,0,0,1
1,0,1,0,0,1,0,1,0,0,1
1,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,1,0,0,1
1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,1,0,0,d,d,d
1,0,1,0,1,1,0,1,d,d,d
1,0,1,0,1,1,1,0,d,d,d
1,0,1,0,1,1,1,1,d,d,d
1,0,1,1,0,0,0,0,d,d,d
1,0,1,1,0,0,0,1,d,d,d
1,0,1,1,0,0,1,0,d,d,d
1,0,1,1,0,0,1,1,d,d,d
1,0,1,1,0,1,0,0,d,d,d
1,0,1,1,0,1,0,1,d,d,d
1,0,1,1,0,1,1,0,d,d,d
1,0,1,1,0,1,1,1,d,d,d
1,0,1,1,1,0,0,0,d,d,d
1,0,1,1,1,0,0,1,d,d,d
1,0,1,1,1,0,1,0,d,d,d
1,0,1,1,1,0,1,1,d,d,d
1,0,1,1,1,1,0,0,d,d,d
1,0,1,1,1,1,0,1,d,d,d
1,0,1,1,1,1,1,0,d,d,d
1,0,1,1,1,1,1,1,d,d,d
1,1,0,0,0,0,0,0,d,d,d
1,1,0,0,0,0,0,1,d,d,d
1,1,0,0,0,0,1,0,d,d,d
1,1,0,0,0,0,1,1,d,d,d
1,1,0,0,0,1,0,0,d,d,d
1,1,0,0,0,1,0,1,d,d,d
1,1,0,0,0,1,1,0,d,d,d
1,1,0,0,0,1,1,1,d,d,d
1,1,0,0,1,0,0,0,d,d,d
1,1,0,0,1,0,0,1,d,d,d
1,1,0,0,1,0,1,0,d,d,d
1,1,0,0,1,0,1,1,d,d,d
1,1,0,0,1,1,0,0,d,d,d
1,1,0,0,1,1,0,1,d,d,d
1,1,0,0,1,1,1,0,d,d,d
1,1,0,0,1,1,1,1,d,d,d
1,1,0,1,0,0,0,0,d,d,d
1,1,0,1,0,0,0,1,d,d,d
1,1,0,1,0,0,1,0,d,d,d
1,1,0,1,0,0,1,1,d,d,d
1,1,0,1,0,1,0,0,d,d,d
1,1,0,1,0,1,0,1,d,d,d
1,1,0,1,0,1,1,0,d,d,d
1,1,0,1,0,1,1,1,d,d,d
1,1,0,1,1,0,0,0,d,d,d
1,1,0,1,1,0,0,1,d,d,d
1,1,0,1,1,0,1,0,d,d,d
1,1,0,1,1,0,1,1,d,d,d
1,1,0,1,1,1,0,0,d,d,d
1,1,0,1,1,1,0,1,d,d,d
1,1,0,1,1,1,1,0,d,d,d
1,1,0,1,1,1,1,1,d,d,d
1,1,1,0,0,0,0,0,d,d,d
1,1,1,0,0,0,0,1,d,d,d
1,1,1,0,0,0,1,0,d,d,d
1,1,1,0,0,0,1,1,d,d,d
1,1,1,0,0,1,0,0,d,d,d
1,1,1,0,0,1,0,1,d,d,d
1,1,1,0,0,1,1,0,d,d,d
1,1,1,0,0,1,1,1,d,d,d
1,1,1,0,1,0,0,0,d,d,d
1,1,1,0,1,0,0,1,d,d,d
1,1,1,0,1,0,1,0,d,d,d
1,1,1,0,1,0,1,1,d,d,d
1,1,1,0,1,1,0,0,d,d,d
1,1,1,0,1,1,0,1,d,d,d
1,1,1,0,1,1,1,0,d,d,d
1,1,1,0,1,1,1,1,d,d,d
1,1,1,1,0,0,0,0,d,d,d
1,1,1,1,0,0,0,1,d,d,d
1,1,1,1,0,0,1,0,d,d,d
1,1,1,1,0,0,1,1,d,d,d
1,1,1,1,0,1,0,0,d,d,d
1,1,1,1,0,1,0,1,d,d,d
1,1,1,1,0,1,1,0,d,d,d
1,1,1,1,0,1,1,1,d,d,d
1,1,1,1,1,0,0,0,d,d,d
1,1,1,1,1,0,0,1,d,d,d
1,1,1,1,1,0,1,0,d,d,d
1,1,1,1,1,0,1,1,d,d,d
1,1,1,1,1,1,0,0,d,d,d
1,1,1,1,1,1,0,1,d,d,d
1,1,1,1,1,1,1,0,d,d,d
1,1,1,1,1,1,1,1,d,d,d
