,Date,Price,Low,High,GoldenCross
0,2000-01-03,89.375,79.04688,89.5625,False
1,2000-01-04,81.9375,81.75,91.5,False
2,2000-01-05,69.75,68.0,75.125,False
3,2000-01-06,65.5625,64.0,72.6875,False
4,2000-01-07,69.5625,66.1875,70.5,False
5,2000-01-10,69.1875,65.5625,72.625,False
6,2000-01-11,66.75,65.0,70.0,False
7,2000-01-12,63.5625,63.0,68.0,False
8,2000-01-13,65.9375,63.125,67.1875,False
9,2000-01-14,64.25,64.0,68.625,False
10,2000-01-18,64.125,63.0,65.1875,False
11,2000-01-19,66.8125,63.0,67.5,False
12,2000-01-20,64.75,63.9375,67.0,False
13,2000-01-21,62.0625,60.0,64.625,False
14,2000-01-24,70.125,67.5,73.375,False
15,2000-01-25,69.25,66.0,71.25,False
16,2000-01-26,64.8125,64.75,70.0,False
17,2000-01-27,66.9375,64.625,67.75,False
18,2000-01-28,61.6875,60.0,66.4375,False
19,2000-01-31,64.5625,58.4375,64.75,False
20,2000-02-01,67.4375,64.375,70.625,False
21,2000-02-02,69.4375,67.75,72.25,False
22,2000-02-03,84.1875,77.375,85.9375,False
23,2000-02-04,78.5625,77.875,82.75,False
24,2000-02-07,75.0,73.125,76.875,False
25,2000-02-08,83.125,73.4375,84.0,False
26,2000-02-09,80.25,80.01563,83.73438,False
27,2000-02-10,76.1875,75.5,79.875,False
28,2000-02-11,76.1875,75.5,79.125,False
29,2000-02-14,74.4375,73.5625,75.75,False
30,2000-02-15,73.8125,70.625,76.1875,False
31,2000-02-16,70.6875,70.625,73.4375,False
32,2000-02-17,69.0,68.0,71.3125,False
33,2000-02-18,64.75,63.875,69.0,False
34,2000-02-22,63.5625,63.0625,66.5,False
35,2000-02-23,70.4375,64.6875,71.75,False
36,2000-02-24,68.4375,65.625,71.375,False
37,2000-02-25,69.125,65.1875,69.375,False
38,2000-02-28,65.75,64.125,67.1875,False
39,2000-02-29,68.875,65.875,68.96875,False
40,2000-03-01,65.875,65.0,68.5,False
41,2000-03-02,62.5625,62.1875,65.0,False
42,2000-03-03,62.5,62.0625,64.75,False
43,2000-03-06,63.9375,62.8125,67.25,False
44,2000-03-07,63.5,62.125,65.8125,False
45,2000-03-08,63.625,60.5625,64.75,False
46,2000-03-09,68.8125,62.1875,69.0,False
47,2000-03-10,66.875,65.0,68.53125,False
48,2000-03-13,65.3125,63.0,66.625,False
49,2000-03-14,65.625,63.375,66.9375,False
50,2000-03-15,63.75,62.0,65.125,False
51,2000-03-16,66.25,60.0,66.375,False
52,2000-03-17,64.8125,64.5,66.375,False
53,2000-03-20,64.1875,62.375,64.5,False
54,2000-03-21,72.375,62.25,73.0,False
55,2000-03-22,70.6875,69.25,74.0,False
56,2000-03-23,67.6875,67.5,70.9375,False
57,2000-03-24,72.6875,71.3125,75.25,False
58,2000-03-27,73.125,71.75,75.125,False
59,2000-03-28,70.125,69.46875,72.75,False
60,2000-03-29,66.25,65.0,69.875,False
61,2000-03-30,66.5,64.0,67.375,False
62,2000-03-31,67.0,63.0,67.125,False
63,2000-04-03,63.5625,62.0,65.6875,False
64,2000-04-04,63.9375,55.75,65.4375,False
65,2000-04-05,62.1875,60.5,64.9375,False
66,2000-04-06,64.25,61.875,65.5,False
67,2000-04-07,67.5625,64.125,68.625,False
68,2000-04-10,63.375,63.25,68.4375,False
69,2000-04-11,63.375,61.25,66.0,False
70,2000-04-12,56.375,56.25,64.375,False
71,2000-04-13,48.0,47.9375,58.75,False
72,2000-04-14,46.875,40.8125,52.375,False
73,2000-04-17,47.0625,44.625,52.0,False
74,2000-04-18,54.9375,47.125,56.25,False
75,2000-04-19,53.4375,51.6875,55.3125,False
76,2000-04-20,52.375,49.875,53.6875,False
77,2000-04-24,49.8125,44.875,51.5625,False
78,2000-04-25,52.4375,50.25,54.125,False
79,2000-04-26,53.5,52.45313,57.4375,False
80,2000-04-27,52.875,48.5,55.25,False
81,2000-04-28,55.1875,53.125,55.625,False
82,2000-05-01,59.9375,55.25,60.3125,False
83,2000-05-02,56.125,55.875,60.0,False
84,2000-05-03,54.125,53.0,56.5625,False
85,2000-05-04,55.0625,53.125,56.5,False
86,2000-05-05,58.5,54.125,58.625,False
87,2000-05-08,56.01563,55.4375,59.25,False
88,2000-05-09,56.25,53.0,57.75,False
89,2000-05-10,53.3125,49.0,55.375,False
90,2000-05-11,54.875,50.9375,55.75,False
91,2000-05-12,53.75,53.125,56.5,False
92,2000-05-15,56.0625,50.875,56.5,False
93,2000-05-16,59.0625,56.0,59.875,False
94,2000-05-17,61.0,57.0,62.375,False
95,2000-05-18,55.375,55.125,60.875,False
96,2000-05-19,52.625,52.25,55.75,False
97,2000-05-22,51.875,46.875,53.125,False
98,2000-05-23,46.6875,46.5,51.875,False
99,2000-05-24,48.5625,40.4375,49.75,False
100,2000-05-25,45.5,45.5,50.0,False
101,2000-05-26,46.5,44.0,47.75,False
102,2000-05-30,51.75,47.3125,51.875,False
103,2000-05-31,48.3125,48.125,52.25,False
104,2000-06-01,50.1875,46.375,51.125,False
105,2000-06-02,57.875,52.25,58.125,False
106,2000-06-05,54.5,52.5,56.25,False
107,2000-06-06,50.5625,50.25,54.5625,False
108,2000-06-07,51.8125,50.125,52.1875,False
109,2000-06-08,51.875,51.625,53.4375,False
110,2000-06-09,52.1875,51.875,53.25,False
111,2000-06-12,48.4375,47.0,52.1875,False
112,2000-06-13,49.0,46.25,49.5,False
113,2000-06-14,46.4375,46.0,49.875,False
114,2000-06-15,46.3125,45.3125,47.9375,False
115,2000-06-16,46.0,45.375,47.4375,False
116,2000-06-19,45.3125,43.5,45.875,False
117,2000-06-20,46.125,45.125,48.625,False
118,2000-06-21,46.0625,45.0625,46.9375,False
119,2000-06-22,42.0,41.625,46.4375,False
120,2000-06-23,33.875,32.46875,37.0,False
121,2000-06-26,33.9375,32.8125,35.32813,False
122,2000-06-27,36.5,33.5,38.5,False
123,2000-06-28,37.875,36.125,39.9375,False
124,2000-06-29,37.125,36.125,38.5,False
125,2000-06-30,36.3125,35.5,37.25,False
126,2000-07-03,37.0,36.5,37.5,False
127,2000-07-05,36.5,36.375,38.5,False
128,2000-07-06,36.0625,34.75,37.375,False
129,2000-07-07,36.125,35.25,37.0,False
130,2000-07-10,35.0625,35.0,36.375,False
131,2000-07-11,33.125,32.625,35.25,False
132,2000-07-12,35.0625,34.25,36.125,False
133,2000-07-13,35.0,34.875,36.0,False
134,2000-07-14,42.5,36.3125,43.20313,False
135,2000-07-17,41.125,40.25,43.9375,False
136,2000-07-18,41.75,39.5,43.625,False
137,2000-07-19,40.875,39.0,41.5625,False
138,2000-07-20,40.3125,39.5,43.375,False
139,2000-07-21,41.125,40.4375,42.5,False
140,2000-07-24,38.75,38.0625,41.375,False
141,2000-07-25,37.625,33.25,38.75,False
142,2000-07-26,36.0625,34.0625,36.71875,False
143,2000-07-27,31.375,29.75,32.0,False
144,2000-07-28,30.0,29.0,32.125,False
145,2000-07-31,30.125,27.875,30.25,False
146,2000-08-01,30.25,30.25,32.25,False
147,2000-08-02,30.8125,30.21875,32.0,False
148,2000-08-03,31.5,29.3125,31.75,False
149,2000-08-04,32.5,31.5,34.1875,False
150,2000-08-07,33.8125,31.625,34.25,False
151,2000-08-08,32.9375,32.4375,33.375,False
152,2000-08-09,30.875,30.375,32.375,False
153,2000-08-10,30.4375,29.75,31.75,False
154,2000-08-11,33.6875,30.3125,34.0,False
155,2000-08-14,34.875,32.6875,35.1875,False
156,2000-08-15,37.5625,34.375,38.3125,False
157,2000-08-16,38.625,37.53125,39.875,False
158,2000-08-17,38.25,36.875,39.0625,False
159,2000-08-18,39.0,38.9375,40.125,False
160,2000-08-21,37.5,36.5,39.875,False
161,2000-08-22,36.5,36.0625,38.1875,False
162,2000-08-23,38.8125,35.0,39.5,False
163,2000-08-24,39.375,38.8125,40.5,False
164,2000-08-25,39.9375,38.5625,40.0625,False
165,2000-08-28,39.125,38.5625,42.5,False
166,2000-08-29,39.625,38.875,40.875,False
167,2000-08-30,42.9375,42.0,43.96875,False
168,2000-08-31,41.5,41.4375,43.1875,False
169,2000-09-01,41.5,41.0,42.5,False
170,2000-09-05,45.6875,40.25,46.3125,False
171,2000-09-06,45.875,45.6875,49.625,False
172,2000-09-07,43.5,43.0,47.0,False
173,2000-09-08,42.9375,42.5,45.0,False
174,2000-09-11,42.375,42.1875,45.21875,False
175,2000-09-12,42.6875,42.25,44.1875,False
176,2000-09-13,42.4375,41.0,43.125,False
177,2000-09-14,44.875,43.75,46.0,False
178,2000-09-15,43.625,42.875,45.4375,False
179,2000-09-18,42.8125,41.875,44.625,False
180,2000-09-19,40.75,39.125,42.75,False
181,2000-09-20,37.5,37.375,40.5,False
182,2000-09-21,40.0625,37.25,40.5,False
183,2000-09-22,41.4375,38.3125,42.125,False
184,2000-09-25,40.375,40.0,42.5625,False
185,2000-09-26,39.75,39.5625,41.125,False
186,2000-09-27,37.875,35.5,39.625,False
187,2000-09-28,40.0,37.125,40.25,False
188,2000-09-29,38.4375,37.625,41.25,False
189,2000-10-02,35.875,35.25,38.4375,False
