PERMNO,date,PRC,vwretd
14593,2015-01-02,109.33000,-0.000245
14593,2015-01-05,106.25000,-0.018293
14593,2015-01-06,106.26000,-0.009672
14593,2015-01-07,107.75000,0.011123
14593,2015-01-08,111.89000,0.016860
14593,2015-01-09,112.01000,-0.007552
14593,2015-01-12,109.25000,-0.007791
14593,2015-01-13,110.22000,-0.002267
14593,2015-01-14,109.80000,-0.005228
14593,2015-01-15,106.82000,-0.009194
14593,2015-01-16,105.99000,0.013856
14593,2015-01-20,108.72000,0.000252
14593,2015-01-21,109.55000,0.004555
14593,2015-01-22,112.40000,0.014717
14593,2015-01-23,112.98000,-0.004210
14593,2015-01-26,113.10000,0.004407
14593,2015-01-27,109.14000,-0.010018
14593,2015-01-28,115.31000,-0.014080
14593,2015-01-29,118.90000,0.008491
14593,2015-01-30,117.16000,-0.012167
14593,2015-02-02,118.63000,0.012235
14593,2015-02-03,118.65000,0.015039
14593,2015-02-04,119.56000,-0.004443
14593,2015-02-05,119.94000,0.011519
14593,2015-02-06,118.93000,-0.003586
14593,2015-02-09,119.72000,-0.004090
14593,2015-02-10,122.02000,0.008617
14593,2015-02-11,124.88000,-0.000366
14593,2015-02-12,126.46000,0.010435
14593,2015-02-13,127.08000,0.004739
14593,2015-02-17,127.83000,0.001751
14593,2015-02-18,128.71500,0.000117
14593,2015-02-19,128.45000,-0.001016
14593,2015-02-20,129.49500,0.005713
14593,2015-02-23,133.00000,-0.000654
14593,2015-02-24,132.17000,0.002292
14593,2015-02-25,128.78999,0.000697
14593,2015-02-26,130.41499,-0.001539
14593,2015-02-27,128.46001,-0.002608
14593,2015-03-02,129.09000,0.005498
14593,2015-03-03,129.36000,-0.004052
14593,2015-03-04,128.53999,-0.003783
14593,2015-03-05,126.41000,0.001631
14593,2015-03-06,126.60000,-0.013858
14593,2015-03-09,127.14000,0.002863
14593,2015-03-10,124.51000,-0.015516
14593,2015-03-11,122.24000,-0.000192
14593,2015-03-12,124.45000,0.011990
14593,2015-03-13,123.59000,-0.005531
14593,2015-03-16,124.95000,0.011773
14593,2015-03-17,127.04000,-0.001754
14593,2015-03-18,128.47000,0.012085
14593,2015-03-19,127.49500,-0.004554
14593,2015-03-20,125.90000,0.009394
14593,2015-03-23,127.21000,-0.000948
14593,2015-03-24,126.69000,-0.004573
14593,2015-03-25,123.38000,-0.014702
14593,2015-03-26,124.24000,-0.002222
14593,2015-03-27,123.25000,0.002469
14593,2015-03-30,126.37000,0.011528
14593,2015-03-31,124.43000,-0.007125
14593,2015-04-01,124.25000,-0.002681
14593,2015-04-02,125.32000,0.004009
14593,2015-04-06,127.35000,0.006582
14593,2015-04-07,126.01000,-0.002136
14593,2015-04-08,125.60000,0.003585
14593,2015-04-09,126.56000,0.003370
14593,2015-04-10,127.10000,0.004589
14593,2015-04-13,126.85000,-0.003722
14593,2015-04-14,126.30000,0.001885
14593,2015-04-15,126.78000,0.006187
14593,2015-04-16,126.17000,-0.000422
14593,2015-04-17,124.75000,-0.011304
14593,2015-04-20,127.60000,0.008085
14593,2015-04-21,126.91000,-0.001010
14593,2015-04-22,128.62000,0.004148
14593,2015-04-23,129.67000,0.003556
14593,2015-04-24,130.28000,0.001162
14593,2015-04-27,132.64999,-0.004794
14593,2015-04-28,130.56000,0.002461
14593,2015-04-29,128.64000,-0.003923
14593,2015-04-30,125.15000,-0.010686
14593,2015-05-01,128.95000,0.009300
14593,2015-05-04,128.70000,0.002965
14593,2015-05-05,125.80000,-0.011559
14593,2015-05-06,125.01000,-0.003354
14593,2015-05-07,125.26000,0.003349
14593,2015-05-08,127.62000,0.012091
14593,2015-05-11,126.32000,-0.003979
14593,2015-05-12,125.86500,-0.002241
14593,2015-05-13,126.01000,0.000185
14593,2015-05-14,128.95000,0.009719
14593,2015-05-15,128.77000,0.001055
14593,2015-05-18,130.19000,0.003348
14593,2015-05-19,130.07001,-0.001351
14593,2015-05-20,130.06000,-0.000318
14593,2015-05-21,131.39000,0.002464
14593,2015-05-22,132.53999,-0.002201
14593,2015-05-26,129.62000,-0.010473
14593,2015-05-27,132.04500,0.008659
14593,2015-05-28,131.78000,-0.001204
14593,2015-05-29,130.28000,-0.005834
14593,2015-06-01,130.53500,0.001532
14593,2015-06-02,129.96001,0.000375
14593,2015-06-03,130.12000,0.002653
