PERMNO,date,BIDLO,ASKHI,PRC,vwretd
84788,2000-01-03,79.04688,89.56250,89.37500,-0.006803
84788,2000-01-04,81.75000,91.50000,81.93750,-0.039652
84788,2000-01-05,68.00000,75.12500,69.75000,-0.000935
84788,2000-01-06,64.00000,72.68750,65.56250,-0.007391
84788,2000-01-07,66.18750,70.50000,69.56250,0.032516
84788,2000-01-10,65.56250,72.62500,69.18750,0.018608
84788,2000-01-11,65.00000,70.00000,66.75000,-0.016941
84788,2000-01-12,63.00000,68.00000,63.56250,-0.006922
84788,2000-01-13,63.12500,67.18750,65.93750,0.016265
84788,2000-01-14,64.00000,68.62500,64.25000,0.011137
84788,2000-01-18,63.00000,65.18750,64.12500,-0.000860
84788,2000-01-19,63.00000,67.50000,66.81250,0.004631
84788,2000-01-20,63.93750,67.00000,64.75000,-0.002801
84788,2000-01-21,60.00000,64.62500,62.06250,0.002655
84788,2000-01-24,67.50000,73.37500,70.12500,-0.025311
84788,2000-01-25,66.00000,71.25000,69.25000,0.005547
84788,2000-01-26,64.75000,70.00000,64.81250,-0.004530
84788,2000-01-27,64.62500,67.75000,66.93750,-0.003521
84788,2000-01-28,60.00000,66.43750,61.68750,-0.028051
84788,2000-01-31,58.43750,64.75000,64.56250,0.014744
84788,2000-02-01,64.37500,70.62500,67.43750,0.012300
84788,2000-02-02,67.75000,72.25000,69.43750,0.003106
84788,2000-02-03,77.37500,85.93750,84.18750,0.015598
84788,2000-02-04,77.87500,82.75000,78.56250,0.001021
84788,2000-02-07,73.12500,76.87500,75.00000,0.003075
84788,2000-02-08,73.43750,84.00000,83.12500,0.012724
84788,2000-02-09,80.01563,83.73438,80.25000,-0.017185
84788,2000-02-10,75.50000,79.87500,76.18750,0.006488
84788,2000-02-11,75.50000,79.12500,76.18750,-0.017335
84788,2000-02-14,73.56250,75.75000,74.43750,0.002672
84788,2000-02-15,70.62500,76.18750,73.81250,0.007370
84788,2000-02-16,70.62500,73.43750,70.68750,-0.005260
84788,2000-02-17,68.00000,71.31250,69.00000,0.005036
84788,2000-02-18,63.87500,69.00000,64.75000,-0.026050
84788,2000-02-22,63.06250,66.50000,63.56250,0.000556
84788,2000-02-23,64.68750,71.75000,70.43750,0.012353
84788,2000-02-24,65.62500,71.37500,68.43750,-0.000378
84788,2000-02-25,65.18750,69.37500,69.12500,-0.009546
84788,2000-02-28,64.12500,67.18750,65.75000,0.007756
84788,2000-02-29,65.87500,68.96875,68.87500,0.019138
84788,2000-03-01,65.00000,68.50000,65.87500,0.014596
84788,2000-03-02,62.18750,65.00000,62.56250,-0.000614
84788,2000-03-03,62.06250,64.75000,62.50000,0.022590
84788,2000-03-06,62.81250,67.25000,63.93750,-0.006612
84788,2000-03-07,62.12500,65.81250,63.50000,-0.021824
84788,2000-03-08,60.56250,64.75000,63.62500,0.006478
84788,2000-03-09,62.18750,69.00000,68.81250,0.023977
84788,2000-03-10,65.00000,68.53125,66.87500,-0.002837
84788,2000-03-13,63.00000,66.62500,65.31250,-0.014555
84788,2000-03-14,63.37500,66.93750,65.62500,-0.022405
84788,2000-03-15,62.00000,65.12500,63.75000,0.006799
84788,2000-03-16,60.00000,66.37500,66.25000,0.041149
84788,2000-03-17,64.50000,66.37500,64.81250,0.006478
84788,2000-03-20,62.37500,64.50000,64.18750,-0.016474
84788,2000-03-21,62.25000,73.00000,72.37500,0.019027
84788,2000-03-22,69.25000,74.00000,70.68750,0.013567
84788,2000-03-23,67.50000,70.93750,67.68750,0.014405
84788,2000-03-24,71.31250,75.25000,72.68750,0.002147
84788,2000-03-27,71.75000,75.12500,73.12500,-0.003358
84788,2000-03-28,69.46875,72.75000,70.12500,-0.013168
84788,2000-03-29,65.00000,69.87500,66.25000,-0.010693
84788,2000-03-30,64.00000,67.37500,66.50000,-0.018181
84788,2000-03-31,63.00000,67.12500,67.00000,0.012111
84788,2000-04-03,62.00000,65.68750,63.56250,-0.017206
84788,2000-04-04,55.75000,65.43750,63.93750,-0.012824
84788,2000-04-05,60.50000,64.93750,62.18750,0.001060
84788,2000-04-06,61.87500,65.50000,64.25000,0.015859
84788,2000-04-07,64.12500,68.62500,67.56250,0.014535
84788,2000-04-10,63.25000,68.43750,63.37500,-0.019337
84788,2000-04-11,61.25000,66.00000,63.37500,-0.010238
84788,2000-04-12,56.25000,64.37500,56.37500,-0.029996
84788,2000-04-13,47.93750,58.75000,48.00000,-0.017135
84788,2000-04-14,40.81250,52.37500,46.87500,-0.066175
84788,2000-04-17,44.62500,52.00000,47.06250,0.029299
84788,2000-04-18,47.12500,56.25000,54.93750,0.038392
84788,2000-04-19,51.68750,55.31250,53.43750,-0.007378
84788,2000-04-20,49.87500,53.68750,52.37500,0.000561
84788,2000-04-24,44.87500,51.56250,49.81250,-0.010579
84788,2000-04-25,50.25000,54.12500,52.43750,0.038638
84788,2000-04-26,52.45313,57.43750,53.50000,-0.011333
84788,2000-04-27,48.50000,55.25000,52.87500,0.007165
84788,2000-04-28,53.12500,55.62500,55.18750,0.000973
84788,2000-05-01,55.25000,60.31250,59.93750,0.015141
84788,2000-05-02,55.87500,60.00000,56.12500,-0.019366
84788,2000-05-03,53.00000,56.56250,54.12500,-0.021067
84788,2000-05-04,53.12500,56.50000,55.06250,0.000882
84788,2000-05-05,54.12500,58.62500,58.50000,0.015485
84788,2000-05-08,55.43750,59.25000,56.01563,-0.010189
84788,2000-05-09,53.00000,57.75000,56.25000,-0.011780
84788,2000-05-10,49.00000,55.37500,53.31250,-0.026778
84788,2000-05-11,50.93750,55.75000,54.87500,0.020428
84788,2000-05-12,53.12500,56.50000,53.75000,0.008521
84788,2000-05-15,50.87500,56.50000,56.06250,0.020691
84788,2000-05-16,56.00000,59.87500,59.06250,0.013807
84788,2000-05-17,57.00000,62.37500,61.00000,-0.013413
