PERMNO,date,PRC,vwretd
84788,2000-01-03,89.37500,-0.006803
84788,2000-01-04,81.93750,-0.039652
84788,2000-01-05,69.75000,-0.000935
84788,2000-01-06,65.56250,-0.007391
84788,2000-01-07,69.56250,0.032516
84788,2000-01-10,69.18750,0.018608
84788,2000-01-11,66.75000,-0.016941
84788,2000-01-12,63.56250,-0.006922
84788,2000-01-13,65.93750,0.016265
84788,2000-01-14,64.25000,0.011137
84788,2000-01-18,64.12500,-0.000860
84788,2000-01-19,66.81250,0.004631
84788,2000-01-20,64.75000,-0.002801
84788,2000-01-21,62.06250,0.002655
84788,2000-01-24,70.12500,-0.025311
84788,2000-01-25,69.25000,0.005547
84788,2000-01-26,64.81250,-0.004530
84788,2000-01-27,66.93750,-0.003521
84788,2000-01-28,61.68750,-0.028051
84788,2000-01-31,64.56250,0.014744
84788,2000-02-01,67.43750,0.012300
84788,2000-02-02,69.43750,0.003106
84788,2000-02-03,84.18750,0.015598
84788,2000-02-04,78.56250,0.001021
84788,2000-02-07,75.00000,0.003075
84788,2000-02-08,83.12500,0.012724
84788,2000-02-09,80.25000,-0.017185
84788,2000-02-10,76.18750,0.006488
84788,2000-02-11,76.18750,-0.017335
84788,2000-02-14,74.43750,0.002672
84788,2000-02-15,73.81250,0.007370
84788,2000-02-16,70.68750,-0.005260
84788,2000-02-17,69.00000,0.005036
84788,2000-02-18,64.75000,-0.026050
84788,2000-02-22,63.56250,0.000556
84788,2000-02-23,70.43750,0.012353
84788,2000-02-24,68.43750,-0.000378
84788,2000-02-25,69.12500,-0.009546
84788,2000-02-28,65.75000,0.007756
84788,2000-02-29,68.87500,0.019138
84788,2000-03-01,65.87500,0.014596
84788,2000-03-02,62.56250,-0.000614
84788,2000-03-03,62.50000,0.022590
84788,2000-03-06,63.93750,-0.006612
84788,2000-03-07,63.50000,-0.021824
84788,2000-03-08,63.62500,0.006478
84788,2000-03-09,68.81250,0.023977
84788,2000-03-10,66.87500,-0.002837
84788,2000-03-13,65.31250,-0.014555
84788,2000-03-14,65.62500,-0.022405
84788,2000-03-15,63.75000,0.006799
84788,2000-03-16,66.25000,0.041149
84788,2000-03-17,64.81250,0.006478
84788,2000-03-20,64.18750,-0.016474
84788,2000-03-21,72.37500,0.019027
84788,2000-03-22,70.68750,0.013567
84788,2000-03-23,67.68750,0.014405
84788,2000-03-24,72.68750,0.002147
84788,2000-03-27,73.12500,-0.003358
84788,2000-03-28,70.12500,-0.013168
84788,2000-03-29,66.25000,-0.010693
84788,2000-03-30,66.50000,-0.018181
84788,2000-03-31,67.00000,0.012111
84788,2000-04-03,63.56250,-0.017206
84788,2000-04-04,63.93750,-0.012824
84788,2000-04-05,62.18750,0.001060
84788,2000-04-06,64.25000,0.015859
84788,2000-04-07,67.56250,0.014535
84788,2000-04-10,63.37500,-0.019337
84788,2000-04-11,63.37500,-0.010238
84788,2000-04-12,56.37500,-0.029996
84788,2000-04-13,48.00000,-0.017135
84788,2000-04-14,46.87500,-0.066175
84788,2000-04-17,47.06250,0.029299
84788,2000-04-18,54.93750,0.038392
84788,2000-04-19,53.43750,-0.007378
84788,2000-04-20,52.37500,0.000561
84788,2000-04-24,49.81250,-0.010579
84788,2000-04-25,52.43750,0.038638
84788,2000-04-26,53.50000,-0.011333
84788,2000-04-27,52.87500,0.007165
84788,2000-04-28,55.18750,0.000973
84788,2000-05-01,59.93750,0.015141
84788,2000-05-02,56.12500,-0.019366
84788,2000-05-03,54.12500,-0.021067
84788,2000-05-04,55.06250,0.000882
84788,2000-05-05,58.50000,0.015485
84788,2000-05-08,56.01563,-0.010189
84788,2000-05-09,56.25000,-0.011780
84788,2000-05-10,53.31250,-0.026778
84788,2000-05-11,54.87500,0.020428
84788,2000-05-12,53.75000,0.008521
84788,2000-05-15,56.06250,0.020691
84788,2000-05-16,59.06250,0.013807
84788,2000-05-17,61.00000,-0.013413
84788,2000-05-18,55.37500,-0.010467
84788,2000-05-19,52.62500,-0.024081
84788,2000-05-22,51.87500,-0.007917
84788,2000-05-23,46.68750,-0.023379
84788,2000-05-24,48.56250,0.015412
84788,2000-05-25,45.50000,-0.011616
84788,2000-05-26,46.50000,-0.001787
84788,2000-05-30,51.75000,0.037875
84788,2000-05-31,48.31250,-0.001740
84788,2000-06-01,50.18750,0.025195
84788,2000-06-02,57.87500,0.029096
84788,2000-06-05,54.50000,-0.003705
84788,2000-06-06,50.56250,-0.007927
84788,2000-06-07,51.81250,0.011114
84788,2000-06-08,51.87500,-0.005120
84788,2000-06-09,52.18750,0.001025
84788,2000-06-12,48.43750,-0.011024
84788,2000-06-13,49.00000,0.014502
84788,2000-06-14,46.43750,-0.000844
84788,2000-06-15,46.31250,0.004970
84788,2000-06-16,46.00000,-0.006716
84788,2000-06-19,45.31250,0.016156
84788,2000-06-20,46.12500,-0.002430
84788,2000-06-21,46.06250,0.003636
84788,2000-06-22,42.00000,-0.018904
84788,2000-06-23,33.87500,-0.009194
84788,2000-06-26,33.93750,0.009773
84788,2000-06-27,36.50000,-0.005300
84788,2000-06-28,37.87500,0.007521
84788,2000-06-29,37.12500,-0.006933
84788,2000-06-30,36.31250,0.007400
84788,2000-07-03,37.00000,0.010019
84788,2000-07-05,36.50000,-0.015790
84788,2000-07-06,36.06250,0.008412
84788,2000-07-07,36.12500,0.014433
84788,2000-07-10,35.06250,-0.001199
84788,2000-07-11,33.12500,0.002003
84788,2000-07-12,35.06250,0.013264
84788,2000-07-13,35.00000,0.005768
84788,2000-07-14,42.50000,0.009675
84788,2000-07-17,41.12500,0.001402
84788,2000-07-18,41.75000,-0.012818
84788,2000-07-19,40.87500,-0.011338
84788,2000-07-20,40.31250,0.013250
84788,2000-07-21,41.12500,-0.011642
84788,2000-07-24,38.75000,-0.013586
84788,2000-07-25,37.62500,0.005435
84788,2000-07-26,36.06250,-0.011710
84788,2000-07-27,31.37500,-0.009848
84788,2000-07-28,30.00000,-0.023334
84788,2000-07-31,30.12500,0.010123
84788,2000-08-01,30.25000,0.001448
84788,2000-08-02,30.81250,0.000690
84788,2000-08-03,31.50000,0.010131
84788,2000-08-04,32.50000,0.009086
84788,2000-08-07,33.81250,0.012497
84788,2000-08-08,32.93750,0.001074
84788,2000-08-09,30.87500,-0.005173
84788,2000-08-10,30.43750,-0.009367
84788,2000-08-11,33.68750,0.008345
84788,2000-08-14,34.87500,0.012661
84788,2000-08-15,37.56250,-0.003819
84788,2000-08-16,38.62500,-0.001037
84788,2000-08-17,38.25000,0.011605
84788,2000-08-18,39.00000,-0.002649
84788,2000-08-21,37.50000,0.003793
84788,2000-08-22,36.50000,0.000292
84788,2000-08-23,38.81250,0.005030
84788,2000-08-24,39.37500,0.003506
84788,2000-08-25,39.93750,0.000084
84788,2000-08-28,39.12500,0.004815
84788,2000-08-29,39.62500,-0.000658
84788,2000-08-30,42.93750,-0.000758
84788,2000-08-31,41.50000,0.011971
84788,2000-09-01,41.50000,0.004986
84788,2000-09-05,45.68750,-0.008874
84788,2000-09-06,45.87500,-0.012165
84788,2000-09-07,43.50000,0.007519
84788,2000-09-08,42.93750,-0.008837
84788,2000-09-11,42.37500,-0.004717
84788,2000-09-12,42.68750,-0.005147
84788,2000-09-13,42.43750,0.003437
84788,2000-09-14,44.87500,0.001404
84788,2000-09-15,43.62500,-0.011252
84788,2000-09-18,42.81250,-0.018458
84788,2000-09-19,40.75000,0.012571
84788,2000-09-20,37.50000,-0.004483
84788,2000-09-21,40.06250,-0.005631
84788,2000-09-22,41.43750,0.004009
84788,2000-09-25,40.37500,-0.004854
84788,2000-09-26,39.75000,-0.009139
84788,2000-09-27,37.87500,-0.002495
84788,2000-09-28,40.00000,0.022718
84788,2000-09-29,38.43750,-0.012354
84788,2000-10-02,35.87500,-0.005967
84788,2000-10-03,35.06250,-0.012101
84788,2000-10-04,36.00000,0.006403
84788,2000-10-05,33.56250,-0.001192
84788,2000-10-06,31.56250,-0.021602
84788,2000-10-09,30.06250,-0.003434
84788,2000-10-10,30.43750,-0.014331
84788,2000-10-11,27.81250,-0.017175
84788,2000-10-12,25.12500,-0.027423
84788,2000-10-13,28.43750,0.038630
84788,2000-10-16,24.31250,0.002233
84788,2000-10-17,21.93750,-0.019825
84788,2000-10-18,25.12500,-0.008593
84788,2000-10-19,27.75000,0.037020
84788,2000-10-20,30.81250,0.009775
84788,2000-10-23,30.00000,0.000144
84788,2000-10-24,29.56250,-0.000980
84788,2000-10-25,31.87500,-0.027450
84788,2000-10-26,36.87500,0.000603
84788,2000-10-27,35.62500,0.008625
84788,2000-10-30,32.87500,0.006715
84788,2000-10-31,36.62500,0.028395
84788,2000-11-01,37.37500,-0.004313
84788,2000-11-02,39.75000,0.010034
84788,2000-11-03,37.56250,0.000548
84788,2000-11-06,36.56250,0.001272
84788,2000-11-07,36.93750,-0.000987
84788,2000-11-08,33.87500,-0.018907
84788,2000-11-09,31.25000,-0.009808
84788,2000-11-10,30.06250,-0.026389
84788,2000-11-13,27.81250,-0.013356
84788,2000-11-14,28.93750,0.026070
84788,2000-11-15,29.50000,0.005432
84788,2000-11-16,27.81250,-0.016411
84788,2000-11-17,27.43750,-0.004486
84788,2000-11-20,25.81250,-0.023896
84788,2000-11-21,24.25000,0.000294
84788,2000-11-22,25.18750,-0.020858
84788,2000-11-24,28.93750,0.021101
84788,2000-11-27,28.00000,0.003675
84788,2000-11-28,25.03125,-0.016877
84788,2000-11-29,26.93750,0.000640
84788,2000-11-30,24.68750,-0.019168
84788,2000-12-01,24.62500,0.006217
84788,2000-12-04,26.56250,0.003689
84788,2000-12-05,25.37500,0.045360
84788,2000-12-06,23.62500,-0.016468
84788,2000-12-07,21.37500,-0.005876
84788,2000-12-08,23.43750,0.028504
84788,2000-12-11,25.31250,0.011986
84788,2000-12-12,25.87500,-0.010891
84788,2000-12-13,23.75000,-0.011568
84788,2000-12-14,22.68750,-0.016984
84788,2000-12-15,22.87500,-0.017778
84788,2000-12-18,19.87500,0.005421
84788,2000-12-19,18.25000,-0.015778
84788,2000-12-20,16.68750,-0.035199
84788,2000-12-21,15.18750,0.005463
84788,2000-12-22,15.56250,0.030143
84788,2000-12-26,16.93750,0.005523
84788,2000-12-27,16.87500,0.013911
84788,2000-12-28,17.37500,0.009406
84788,2000-12-29,15.56250,-0.011225
84788,2001-01-02,13.87500,-0.034230
84788,2001-01-03,17.56250,0.053170
84788,2001-01-04,15.50000,-0.011674
84788,2001-01-05,14.56250,-0.028909
84788,2001-01-08,14.93750,-0.003410
84788,2001-01-09,16.37500,0.004794
84788,2001-01-10,16.50000,0.013930
84788,2001-01-11,17.00000,0.015063
84788,2001-01-12,17.68750,-0.003619
